"Step","news_inference/train_easy_2e-6 - response_length/mean","news_inference/train_easy_2e-6 - response_length/mean__MIN","news_inference/train_easy_2e-6 - response_length/mean__MAX","news_inference/train_easy_kl_1e-4 - response_length/mean","news_inference/train_easy_kl_1e-4 - response_length/mean__MIN","news_inference/train_easy_kl_1e-4 - response_length/mean__MAX"
"202","","","","105.53437805175781","105.53437805175781","105.53437805175781"
"203","","","","110.5328140258789","110.5328140258789","110.5328140258789"
"204","","","","117.9906234741211","117.9906234741211","117.9906234741211"
"205","","","","107.28593444824219","107.28593444824219","107.28593444824219"
"206","","","","110.43281555175781","110.43281555175781","110.43281555175781"
"207","","","","119.16719055175781","119.16719055175781","119.16719055175781"
"208","","","","126.34843444824219","126.34843444824219","126.34843444824219"
"209","","","","119.7562484741211","119.7562484741211","119.7562484741211"
"210","","","","127.93437194824219","127.93437194824219","127.93437194824219"
"211","","","","134.6015625","134.6015625","134.6015625"
"212","","","","154.62344360351562","154.62344360351562","154.62344360351562"
"213","","","","144.375","144.375","144.375"
"214","","","","148.51718139648438","148.51718139648438","148.51718139648438"
"215","","","","158.29843139648438","158.29843139648438","158.29843139648438"
"216","","","","172.90469360351562","172.90469360351562","172.90469360351562"
"217","","","","158.77188110351562","158.77188110351562","158.77188110351562"
